cdc_case_earliest_dt,cdc_report_dt,death_yn
4/18/2020,"3,257",Unknown
4/18/2020,"1,558",Yes
4/19/2020,"5,796",Missing
4/19/2020,"7,881",No
4/19/2020,"3,133",Unknown
4/19/2020,"1,431",Yes
4/20/2020,"8,893",Missing
4/20/2020,"13,580",No
4/20/2020,"5,695",Unknown
4/20/2020,"2,189",Yes
4/21/2020,"8,458",Missing
4/21/2020,"10,814",No
4/21/2020,"4,703",Unknown
4/21/2020,"1,959",Yes
4/22/2020,"7,982",Missing
4/22/2020,"11,648",No
4/22/2020,"5,301",Unknown
4/22/2020,"1,926",Yes
4/23/2020,"7,835",Missing
4/23/2020,"11,673",No
4/23/2020,"4,621",Unknown
4/23/2020,"1,782",Yes
4/24/2020,"8,395",Missing
4/24/2020,"11,822",No
4/24/2020,"4,565",Unknown
4/24/2020,"1,721",Yes
4/25/2020,"7,888",Missing
4/25/2020,"9,123",No
4/25/2020,"3,032",Unknown
4/25/2020,"1,317",Yes
4/26/2020,"6,744",Missing
4/26/2020,"7,748",No
4/26/2020,"1,918",Unknown
4/26/2020,"1,144",Yes
4/27/2020,"10,322",Missing
4/27/2020,"16,145",No
4/27/2020,"4,403",Unknown
4/27/2020,"1,912",Yes
4/28/2020,"9,427",Missing
4/28/2020,"11,802",No
4/28/2020,"4,736",Unknown
4/28/2020,"1,543",Yes
4/29/2020,"9,252",Missing
4/29/2020,"11,646",No
4/29/2020,"4,385",Unknown
4/29/2020,"1,528",Yes
4/30/2020,"7,978",Missing
4/30/2020,"11,304",No
4/30/2020,"3,818",Unknown
4/30/2020,"1,411",Yes
5/1/2020,"9,141",Missing
5/1/2020,"12,880",No
5/1/2020,"3,706",Unknown
5/1/2020,"1,461",Yes
5/2/2020,"6,876",Missing
5/2/2020,"7,874",No
5/2/2020,"2,041",Unknown
5/2/2020,902,Yes
5/3/2020,"6,379",Missing
5/3/2020,"7,006",No
5/3/2020,"1,597",Unknown
5/3/2020,887,Yes
5/4/2020,"8,513",Missing
5/4/2020,"11,360",No
5/4/2020,"3,176",Unknown
5/4/2020,"1,302",Yes
5/5/2020,"8,550",Missing
5/5/2020,"10,393",No
5/5/2020,"3,136",Unknown
5/5/2020,"1,156",Yes
5/6/2020,"8,472",Missing
5/6/2020,"10,747",No
5/6/2020,"2,949",Unknown
5/6/2020,"1,070",Yes
5/7/2020,"8,280",Missing
5/7/2020,"10,806",No
5/7/2020,"2,742",Unknown
5/7/2020,"1,069",Yes
5/8/2020,"7,861",Missing
5/8/2020,"10,066",No
5/8/2020,"2,351",Unknown
5/8/2020,"1,051",Yes
5/9/2020,"7,070",Missing
5/9/2020,"6,973",No
5/9/2020,"1,601",Unknown
5/9/2020,752,Yes
5/10/2020,"5,679",Missing
5/10/2020,"6,588",No
5/10/2020,"1,160",Unknown
5/10/2020,703,Yes
5/11/2020,"10,004",Missing
5/11/2020,"10,923",No
5/11/2020,"2,659",Unknown
5/11/2020,"1,061",Yes
5/12/2020,"9,300",Missing
5/12/2020,"10,336",No
5/12/2020,"2,599",Unknown
5/12/2020,992,Yes
5/13/2020,"9,140",Missing
5/13/2020,"11,157",No
5/13/2020,"2,702",Unknown
5/13/2020,"1,005",Yes
5/14/2020,"8,388",Missing
5/14/2020,"9,563",No
5/14/2020,"2,083",Unknown
5/14/2020,893,Yes
5/15/2020,"8,342",Missing
5/15/2020,"10,783",No
5/15/2020,"1,781",Unknown
5/15/2020,863,Yes
5/16/2020,"7,224",Missing
5/16/2020,"7,152",No
5/16/2020,"1,187",Unknown
5/16/2020,621,Yes
5/17/2020,"5,922",Missing
5/17/2020,"6,511",No
5/17/2020,952,Unknown
5/17/2020,584,Yes
5/18/2020,"9,875",Missing
5/18/2020,"12,121",No
5/18/2020,"1,705",Unknown
5/18/2020,847,Yes
5/19/2020,"9,005",Missing
5/19/2020,"10,230",No
5/19/2020,"1,702",Unknown
5/19/2020,808,Yes
5/20/2020,"9,504",Missing
5/20/2020,"11,380",No
5/20/2020,"1,924",Unknown
5/20/2020,794,Yes
5/21/2020,"9,104",Missing
5/21/2020,"10,575",No
5/21/2020,"1,833",Unknown
5/21/2020,744,Yes
5/22/2020,"8,756",Missing
5/22/2020,"9,680",No
5/22/2020,"1,580",Unknown
5/22/2020,685,Yes
5/23/2020,"5,445",Missing
5/23/2020,"6,339",No
5/23/2020,"1,074",Unknown
5/23/2020,542,Yes
5/24/2020,"5,378",Missing
5/24/2020,"5,761",No
5/24/2020,876,Unknown
5/24/2020,482,Yes
5/25/2020,"7,175",Missing
5/25/2020,"7,578",No
5/25/2020,"1,030",Unknown
5/25/2020,538,Yes
5/26/2020,"8,872",Missing
5/26/2020,"19,979",No
5/26/2020,"1,891",Unknown
5/26/2020,697,Yes
5/27/2020,"8,647",Missing
5/27/2020,"13,315",No
5/27/2020,"1,785",Unknown
5/27/2020,767,Yes
5/28/2020,"8,126",Missing
5/28/2020,"9,929",No
5/28/2020,"1,745",Unknown
5/28/2020,661,Yes
5/29/2020,"8,007",Missing
5/29/2020,"9,656",No
5/29/2020,"1,720",Unknown
5/29/2020,566,Yes
5/30/2020,"5,726",Missing
5/30/2020,"6,947",No
5/30/2020,"1,413",Unknown
5/30/2020,386,Yes
5/31/2020,"4,873",Missing
5/31/2020,"5,878",No
5/31/2020,"1,233",Unknown
5/31/2020,359,Yes
6/1/2020,"9,592",Missing
6/1/2020,"11,660",No
6/1/2020,"1,926",Unknown
6/1/2020,628,Yes
6/2/2020,"8,498",Missing
6/2/2020,"10,856",No
6/2/2020,"1,726",Unknown
6/2/2020,576,Yes
6/3/2020,"8,219",Missing
6/3/2020,"10,331",No
6/3/2020,"1,628",Unknown
6/3/2020,587,Yes
6/4/2020,"14,221",Missing
6/4/2020,"11,443",No
6/4/2020,"1,731",Unknown
6/4/2020,590,Yes
6/5/2020,"9,619",Missing
6/5/2020,"10,578",No
6/5/2020,"1,793",Unknown
6/5/2020,531,Yes
6/6/2020,"5,795",Missing
6/6/2020,"7,394",No
6/6/2020,"1,309",Unknown
6/6/2020,379,Yes
6/7/2020,"4,912",Missing
6/7/2020,"6,521",No
6/7/2020,"1,123",Unknown
6/7/2020,374,Yes
6/8/2020,"8,636",Missing
6/8/2020,"11,668",No
6/8/2020,"2,052",Unknown
6/8/2020,572,Yes
6/9/2020,"10,412",Missing
6/9/2020,"11,221",No
6/9/2020,"2,117",Unknown
6/9/2020,507,Yes
6/10/2020,"10,539",Missing
6/10/2020,"41,706",No
6/10/2020,"2,250",Unknown
6/10/2020,601,Yes
6/11/2020,"8,018",Missing
6/11/2020,"10,030",No
6/11/2020,"2,246",Unknown
6/11/2020,432,Yes
6/12/2020,"15,379",Missing
6/12/2020,"11,388",No
6/12/2020,"2,243",Unknown
6/12/2020,488,Yes
6/13/2020,"8,098",Missing
6/13/2020,"8,893",No
6/13/2020,"1,611",Unknown
6/13/2020,370,Yes
6/14/2020,"7,937",Missing
6/14/2020,"8,722",No
6/14/2020,"1,478",Unknown
6/14/2020,379,Yes
6/15/2020,"14,717",Missing
6/15/2020,"15,209",No
6/15/2020,"2,490",Unknown
6/15/2020,520,Yes
6/16/2020,"14,053",Missing
6/16/2020,"13,912",No
6/16/2020,"2,387",Unknown
6/16/2020,556,Yes
6/17/2020,"14,566",Missing
6/17/2020,"14,534",No
6/17/2020,"2,487",Unknown
6/17/2020,606,Yes
6/18/2020,"13,455",Missing
6/18/2020,"14,293",No
6/18/2020,"2,985",Unknown
6/18/2020,588,Yes
6/19/2020,"15,161",Missing
6/19/2020,"14,676",No
6/19/2020,"2,572",Unknown
6/19/2020,644,Yes
6/20/2020,"21,615",Missing
6/20/2020,"16,567",No
6/20/2020,"2,358",Unknown
6/20/2020,504,Yes
6/21/2020,"24,313",Missing
6/21/2020,"16,884",No
6/21/2020,"2,161",Unknown
6/21/2020,510,Yes
6/22/2020,"17,114",Missing
6/22/2020,"21,566",No
6/22/2020,"4,864",Unknown
6/22/2020,758,Yes
6/23/2020,"18,952",Missing
6/23/2020,"18,508",No
6/23/2020,"3,285",Unknown
6/23/2020,703,Yes
6/24/2020,"20,214",Missing
6/24/2020,"18,745",No
